player_id,player_name,team,position,games_played,toi_seconds,goals,assists,points,shots,hits,blocks,plus_minus,pim,fow,fol,fo_pct,GF,xG_For,Shots_For,HDC_For,Blocks_For,Hits_For,Corsi_For,OZ_Shots_For,NZ_Shots_For,DZ_Shots_For,Rush_Shots_For,ENtoS_For,EXtoEN_For,Giveaways_For,Takeaways_For,Lateral_Move_For,Longitudinal_Move_For,GameScore_For,GA,xG_Against,Shots_Against,HDC_Against,Blocks_Against,Hits_Against,Corsi_Against,OZ_Shots_Against,NZ_Shots_Against,DZ_Shots_Against,Rush_Shots_Against,ENtoS_Against,EXtoEN_Against,Giveaways_Against,Takeaways_Against,Lateral_Move_Against,Longitudinal_Move_Against,GameScore_Against,Corsi_Pct,xG_Pct
8480043,T. Liljegren,SJS,D,41,1214.8,0.0,0.24,0.24,0.78,0.85,1.98,-0.17,0.66,0.0,0.0,0.0,3.17,0.07,0.78,0.05,1.98,0.85,2.32,0.76,0.0,0.02,0.0,0.49,0.05,1.07,0.12,9.73,11.21,0.2,3.41,2.25,30.46,5.78,17.68,17.2,60.02,29.17,0.61,0.68,0.0,11.98,0.98,0.0,0.0,19.53,25.88,0.0,4.06,3.24
8480045,U. Luukkonen,BUF,G,40,1780.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,3.05,2.13,13.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8480049,D. Samberg,WPG,D,39,1276.77,0.0,0.23,0.23,1.23,0.87,1.62,0.0,0.21,0.0,0.0,0.0,2.74,0.1,1.23,0.0,1.62,0.87,3.23,1.15,0.0,0.08,0.0,0.49,0.13,0.97,0.41,14.07,16.94,0.25,3.28,2.29,27.59,6.0,14.67,18.77,53.21,26.13,0.77,0.69,0.0,10.72,1.13,0.0,0.0,20.05,27.61,0.0,5.91,4.28
8480051,C. Primeau,TOR,G,14,777.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55,3.57,2.48,5.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8480058,P. Joseph,VAN,D,20,798.8,0.0,0.15,0.15,0.75,0.4,0.95,-0.55,0.1,0.0,0.0,0.0,2.15,0.05,0.75,0.05,0.95,0.4,1.8,0.75,0.0,0.0,0.0,0.25,0.0,0.65,0.25,3.15,6.4,0.15,3.65,2.54,30.7,6.7,16.65,19.2,59.6,29.5,0.45,0.75,0.0,12.95,0.85,0.0,0.0,19.62,31.1,0.0,2.86,1.9
8480064,J. Norris,BUF,F,19,957.32,0.32,0.58,0.89,1.42,0.32,0.58,0.0,0.32,0.0,0.0,0.0,3.42,0.17,1.47,0.53,0.58,0.32,3.0,1.47,0.0,0.0,0.0,0.47,0.0,0.47,0.16,13.66,34.39,0.73,2.79,2.14,28.84,5.0,15.42,24.05,57.05,27.21,0.63,1.0,0.0,10.58,0.95,0.0,0.0,18.81,23.17,0.0,4.96,7.17
8480068,R. Poehling,ANA,F,48,855.15,0.1,0.33,0.44,1.04,0.48,1.17,0.15,0.17,0.0,0.0,0.0,3.35,0.1,1.04,0.15,1.17,0.48,2.12,0.94,0.08,0.02,0.0,0.5,0.02,0.67,0.21,5.92,9.97,0.38,3.52,2.27,29.1,5.88,16.58,18.25,57.44,27.56,0.62,0.92,0.0,11.75,1.17,0.0,0.0,20.31,25.87,0.0,3.7,4.42
8480069,C. Makar,COL,D,54,1505.11,0.28,0.76,1.04,2.74,0.5,1.67,0.5,0.37,0.0,0.0,0.0,3.85,0.23,2.76,0.39,1.67,0.5,7.17,2.67,0.0,0.09,0.0,0.98,0.06,1.07,0.59,16.66,19.51,0.94,2.52,2.34,26.98,5.67,15.06,20.59,53.78,25.5,0.94,0.54,0.0,10.67,1.17,0.0,0.0,20.69,27.24,0.0,11.99,9.11
8480074,A. Texier,STL/MTL,F,38,830.05,0.18,0.29,0.47,1.53,1.05,0.34,0.24,0.26,0.0,0.0,0.0,3.39,0.11,1.61,0.29,0.34,1.05,2.87,1.47,0.08,0.05,0.0,0.5,0.03,0.45,0.13,7.9,18.57,0.44,3.16,2.45,27.53,5.89,17.26,20.66,55.66,26.13,0.76,0.63,0.0,11.58,1.11,0.0,0.0,19.25,27.67,0.0,5.12,4.57
8480078,F. Chytil,VAN,F,12,900.33,0.25,0.0,0.25,2.0,0.33,0.33,-0.58,0.5,0.0,0.0,0.0,2.83,0.19,2.0,0.58,0.33,0.33,3.33,2.0,0.0,0.0,0.0,0.5,0.0,1.0,0.33,8.24,8.06,0.25,3.25,2.73,30.67,6.67,17.0,21.58,61.42,29.08,1.0,0.58,0.0,10.92,1.25,0.0,0.0,21.3,30.39,0.0,5.23,7.0
